,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
501,2.5,4,2640,,2003,680000,0.0,26.0
502,3.0,4,3040,,1986,,28.0,10.0
503,1.0,3,1600,,1954,1500000,0.0,1.0
504,4.0,4,6283,,1985,1488880,21.0,0.0
505,2.5,3,1810,,2006,539000,0.0,3.0
506,2.5,3,1572,9,1995,428888,49.0,70.0
507,1.75,2,1100,,1980,300000,26.0,11.0
508,3.0,4,2620,,1977,950000,48.0,30.0
509,3.0,4,2680,,1978,765000,32.0,20.0
510,2.75,2,1785,7,1975,625000,26.0,10.0
511,3.0,4,2350,,1984,1000000,26.0,11.0
512,1.75,2,1191,5,2008,440000,50.0,57.0
513,2.5,3,2340,11,2003,650000,0.0,25.0
514,2.0,3,1164,,1989,300000,41.0,32.0
515,3.0,4,2570,9,1980,739500,0.0,5.0
516,2.25,2,1100,,2003,375000,33.0,10.0
517,2.5,4,3370,,2003,1598888,0.0,14.0
518,3.0,5,5490,,1967,699950,0.0,15.0
519,2.5,4,2760,,2000,600000,0.0,50.0
520,2.5,2,2306,,2007,749900,0.0,6.0
521,3.25,5,3945,,2015,950000,29.0,5.0
522,1.0,2,679,5,1967,259999,26.0,15.0
523,2.25,4,2286,,1978,529900,28.0,16.0
524,2.5,3,1620,6,2003,529000,30.0,24.0
525,1.5,2,1025,,1976,318000,36.0,47.0
526,2.5,4,3650,9,1990,1050000,0.0,13.0
527,2.5,4,2360,,1979,705000,47.0,29.0
528,2.25,3,1668,10,2006,450000,15.0,41.0
529,2.75,4,3680,,2005,1250000,31.0,41.0
530,1.0,1,771,,1972,169950,34.0,41.0
531,2.0,2,1056,,1999,400000,48.0,86.0
532,1.75,4,2500,20,1913,679000,21.0,1.0
533,2.75,4,3150,,1996,800000,0.0,0.0
534,3.25,3,3120,,1969,950000,0.0,4.0
535,2.25,2,1276,7,1967,650000,26.0,10.0
536,2.75,4,4100,,2010,1099000,32.0,17.0
537,2.5,3,1450,,1984,400000,40.0,19.0
538,2.5,2,1598,,1998,599888,48.0,67.0
539,2.5,2,2630,,2002,749000,0.0,13.0
540,,,930,,1931,,28.0,2.0
541,2.5,3,1340,,1976,560000,26.0,5.0
542,2.75,4,2280,,1969,649900,45.0,28.0
543,1.75,2,1488,,1973,54950,33.0,11.0
544,1.5,3,1301,,1967,449000,26.0,10.0
545,1.75,3,1600,,1984,625500,43.0,19.0
546,2.5,3,2880,9,1982,1000000,29.0,18.0
547,2.5,3,1600,,2009,431770,15.0,43.0
548,2.5,3,3010,,1989,819000,0.0,0.0
549,2.5,3,2820,,2008,1250000,49.0,75.0
550,2.5,2,1285,,1995,365000,37.0,15.0
551,3.0,3,1550,,1982,465000,43.0,13.0
552,2.5,5,2430,,1889,1250000,0.0,50.0
553,2.75,4,3334,,2007,1098000,46.0,48.0
554,2.0,4,2400,,1926,2500000,18.0,2.0
555,1.0,1,681,,1990,219000,46.0,59.0
556,3.75,4,2624,,2015,759000,27.0,30.0
557,3.0,3,3040,,2007,995000,38.0,36.0
558,2.0,2,1357,,2000,995000,50.0,88.0
559,2.75,3,1690,8,1986,499000,39.0,50.0
560,1.5,2,1148,,1980,249000,42.0,56.0
561,3.0,6,2880,,2008,1024950,35.0,50.0
562,3.0,4,2634,,2015,1690000,42.0,30.0
563,2.5,4,3326,,1996,1100000,30.0,27.0
