,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
510,1.0,2,740,4,1943,700000,0,66
511,3.0,4,1491,5,1955,699000,0,15
512,2.0,3,1360,5,1955,1188888,0,34
513,1.0,1,832,3,1979,,32,51
514,2.0,3,1450,6,1958,,0,32
515,2.5,4,1760,8,1966,,0,15
516,1.0,3,1300,6,1941,1000000,0,87
517,3.0,3,1900,6,1993,,0,81
518,3.0,4,2650,9,2002,1139000,0,20
519,2.0,4,1220,,1917,749000,38,83
520,2.0,2,1030,4,1940,,52,81
521,2.0,2,1192,4,1979,595000,32,51
522,1.5,2,1140,5,1941,,46,88
523,2.0,3,1510,6,1963,785000,0,29
524,1.0,2,1050,5,1931,499800,48,87
525,3.0,4,1880,7,1965,938800,0,14
526,1.0,1,540,3,1971,,27,49
527,2.0,2,1180,5,1947,,0,49
528,1.0,5,1620,7,1952,,0,71
529,1.0,3,897,5,1954,798000,34,35
530,2.0,3,1278,8,1954,1200000,34,33
531,3.0,4,2256,9,1961,2000000,32,55
532,2.0,2,1000,5,2005,595000,51,73
533,1.5,3,2038,10,1941,975000,45,72
534,1.0,1,865,4,2005,525000,49,73
535,2.0,3,1212,6,1954,998000,42,84
536,3.5,5,2644,13,1963,2340000,42,46
537,1.0,2,882,5,1971,,40,63
538,1.0,1,825,3,1986,500000,46,63
539,1.5,3,1038,5,1957,769000,47,50
540,2.0,4,1167,6,1960,,None,26
541,2.0,3,1530,6,1954,,35,63
542,2.0,4,1167,6,1960,,None,24
543,2.0,3,1813,7,1954,998000,35,43
544,2.0,3,1600,9,1960,1285000,35,49
545,2.0,4,1768,7,1966,2200000,31,57
546,2.0,3,2326,9,1997,,None,21
547,2.5,4,1810,7,1960,1299000,39,55
548,2.0,2,1148,4,2005,750000,49,73
549,1.0,3,1246,7,1935,,None,37
550,2.0,5,1777,8,1958,1200000,34,53
551,3.0,4,2415,8,1948,1600000,43,68
552,,,2323,,1962,,41,66
553,2.0,5,1887,7,1900,,44,65
554,2.5,3,1650,7,1953,980000,38,67
555,2.0,3,1548,6,1965,999999,35,29
556,2.0,3,1361,6,1965,1100000,35,29
557,2.0,2,1067,,1980,680000,40,75
558,2.0,3,1329,5,1955,1690000,32,53
559,2.0,3,1958,6,1946,939000,49,80
560,2.5,4,3044,11,2002,2000000,39,64
561,1.0,3,1086,5,1953,,39,48
562,3.0,4,2093,8,1958,3200000,39,32
563,2.5,4,1705,7,2000,,None,30
564,1.0,3,897,5,1954,699000,32,27
565,2.0,2,1137,6,1969,525000,42,64
566,2.5,4,1476,7,1963,900000,41,69
567,1.0,1,622,3,1971,,42,56
568,2.0,3,1298,10,1964,1099000,38,71
569,4.0,3,1637,7,2012,799000,48,81
570,2.0,4,1619,9,1965,1499000,45,49
571,2.0,4,1791,7,1946,999999,48,79
572,1.0,2,960,5,1958,,54,68
573,2.5,3,1108,6,1957,,39,41
574,2.0,3,1080,6,1954,899000,41,78
